id,character,name,cloth,version,group,rank,god,artistSaint,artistCloth,image,historySaint,historyCloth,curiosities
122,116,116,76,,pallas-weapon-thirdclass-2,34,323,31,8,/cloth-schemes/pallas-pallasites/club-impulse-mace-eden.png,16,0,
123,116,116,252,v1,athena-saints-60,5,582,5,5,/cloth-schemes/athena-saints/orion-eden-1.png,16,0,
124,116,116,252,v2,athena-saints-60,5,582,5,5,/cloth-schemes/athena-saints/orion-eden-2.png,16,16,
125,116,116,252,omega,athena-saints-60,9,582,31,5,/cloth-schemes/athena-saints/orion-eden-omega.png,16,16,
126,117,117,332,,hades-terrestrial-star-64,14,168,3,3,/cloth-schemes/hades-specters/sylph-edward.jpg,6,6,
127,118,118,136,,eris-gods,9,308,6,6,/cloth-schemes/eris-dryads/eris-eri-aizawa.jpg,21,5,
128,119,393,59,,athena-saints-16,7,582,20,20,/cloth-schemes/athena-saints/capricorn-el-cid.png,6,0,
129,120,120,63,,athena-saints-18,5,582,4,4,/cloth-schemes/athena-saints/cassiopeia-elda.png,5,5,
130,121,121,358,,apollo-fallen-angels-power,17,28,5,5,/cloth-schemes/apollo-angels/virtues-eligor.jpg,24,0,
131,122,122,39,,athena-soldiers,3,582,31,8,/cloth-schemes/athena-saints/emma.png,16,0,
132,123,123,210,v2,eris-dryads,,308,6,6,/cloth-schemes/eris-dryads/malice-emony-2.jpg,5,0,
133,124,124,363,,typhon-brothers-4,20,444,5,6,/cloth-schemes/typhon-gigas/warcry-enceladus.jpg,27,0,
134,125,125,307,,athena-saints-75,6,582,31,6,/cloth-schemes/athena-saints/scutum-ennead.jpg,16,0,
135,126,126,39,,athena-soldiers,3,582,31,8,/cloth-schemes/athena-saints/elna.png,16,0,
136,127,127,305,,athena-saints-73,7,582,16,10,/cloth-schemes/athena-saints/scorpio-escarlate.jpg,4,0,
137,128,128,69,v1,pallas-weapon-secondclass-1,33,323,31,8,/cloth-schemes/pallas-pallasites/chakram-slash-reaper-europe-1.png,16,0,
138,128,128,69,v2,pallas-weapon-secondclass-1,32,323,5,5,/cloth-schemes/pallas-pallasites/chakram-slash-reaper-europe-2.jpg,16,0,
139,565,565,127,,poseidon-mariner-soldiers,1,494,,,,1,0,
140,130,130,237,,odin-chamber-2,,495,5,5,/cloth-schemes/odin-god-warriors/nidhoggr-fafner.png,14,0,
141,131,131,161,,hakuryu-taonias,,496,3,3,/cloth-schemes/hakuryu-taonias/hakutaku-feiyan.jpg,7,7,
142,132,132,48,,hades-other-specters,,168,6,6,/cloth-schemes/hades-specters/black-terror-felser.jpg,7,0,
143,133,133,4,,odin-ursa-major-star-4,,495,33,32,/cloth-schemes/odin-god-warriors/alioth-fenrir.jpg,12,12,
144,134,134,138,,garnet-jewels,,149,6,6,/cloth-schemes/garnet-jewels/flaming-fist-flint.jpg,7,0,
145,135,135,235,,athena-saints-56,6,582,31,8,/cloth-schemes/athena-saints/musca-fly.png,16,0,
146,136,136,,,odin-asgard-soldiers,1,495,6,6,/cloth-schemes/odin-god-warriors/folken.jpg,12,0,
147,137,137,158,,odin-chamber-5,,495,5,5,/cloth-schemes/odin-god-warriors/gullinbursti-frodi.png,14,0,
148,138,138,336,,athena-saints-78,7,582,,21,/cloth-schemes/athena-saints/taurus-francisca.png,7,0,
149,371,371,55,,athena-saints-12,7,582,,,,6,0,
150,141,141,356,,athena-saints-86,7,582,5,5,/cloth-schemes/athena-saints/virgo-fudou.png,16,16,
151,142,142,111,,athena-saints-34,4,582,6,6,/cloth-schemes/athena-saints/draco-black-twin.jpg,1,1,
152,143,143,211,,hades-celestial-star-14,13,168,3,3,/cloth-schemes/hades-specters/mandrake-fyodor.jpg,6,6,
153,144,144,,,pontos-primordial-gods,9,342,10,,/cloth-schemes/pontos-primordial/gaia.png,8,0,
154,145,145,189,,athena-saints-46,1,582,,,/cloth-schemes/athena-saints/leo-galarian-steiner.jpg,8,0,
155,146,146,331,,pallas-weapon-firstclass-4,32,323,5,5,/cloth-schemes/pallas-pallasites/photon-gallia.png,16,0,
156,,,,,hades-terrestrial-star-42,14,168,,,/cloth-schemes/hades-specters/star-majestic-next-dimension.jpg,4,0,
157,148,148,,,odin-blue-warrior-representative,,495,6,6,/cloth-schemes/odin-blue-warriors/garcia.jpg,6,0,
158,149,149,361,,garnet-vampire,,149,3,3,/cloth-schemes/garnet-jewels/vouivre-garnet.jpg,7,7,
159,150,150,26,,athena-saints-7,7,582,,10,/cloth-schemes/athena-saints/aries-gateguard.jpg,7,0,
160,151,151,151,,athena-unknown-saints,,582,6,6,/cloth-schemes/athena-saints/ghosts-master-geist.jpg,12,29,
161,152,152,351,,athena-saints-83,5,582,1,1,/cloth-schemes/athena-saints/ursa-major-geki.jpg,42,42,
162,153,153,197,,athena-saints-49,7,582,5,31,/cloth-schemes/athena-saints/libra-genbu.png,16,16,
163,154,154,86,,athena-saints-30,6,582,6,6,/cloth-schemes/athena-saints/crux-georg.jpg,5,0,
164,379,379,302,,hades-ressurected-saints,,168,,,/cloth-schemes/hades-specters/sagittarius-seiya-specter.jpg,32,0,
165,156,156,,,hades-terrestrial-star-92,14,168,6,6,/cloth-schemes/hades-specters/gerald.jpg,29,0,1
166,157,157,302,,athena-saints-72,7,582,16,10,/cloth-schemes/athena-saints/sagittarius-gestalt.jpg,4,0,
167,158,158,89,,hades-terrestrial-star-60,14,168,1,1,/cloth-schemes/hades-specters/cyclops-gigant.jpg,1,1,
168,159,159,,,athena-unknown-saints,,582,17,17,/cloth-schemes/athena-saints/gigas.png,12,0,
169,,,,,hades-terrestrial-star-56,14,168,,,/cloth-schemes/hades-specters/star-spirit-next-dimension.jpg,4,0,
170,161,161,226,,hades-celestial-star-32,13,168,1,1,/cloth-schemes/hades-specters/minotauros-gordon.jpg,1,1,
171,162,162,77,,athena-saints-24,5,582,6,6,/cloth-schemes/athena-saints/columba-gray.png,16,0,
172,529,529,315,,athena-unknown-saints,,582,1,9,/cloth-schemes/athena-saints/shadow-cloth.jpg,35,35,1
173,164,164,150,,hades-celestial-star-25,13,168,3,3,/cloth-schemes/hades-specters/genbu-gregor.jpg,7,7,
174,165,165,99,,pallas-weapon-thirdclass-4,34,323,31,8,/cloth-schemes/pallas-pallasites/deadly-scythe-soul-killer-greip.png,16,0,
175,215,215,70,,hades-ressurected-saints,,168,,,/cloth-schemes/hades-specters/chamaeleon-june-specter.jpg,29,0,
176,167,167,105,,athena-saints-32,5,582,5,19,/cloth-schemes/athena-saints/delphinus-guney.png,16,0,
177,168,168,159,,hades-gods,9,168,1,1,/cloth-schemes/hades-specters/hades.jpg,1,1,
178,169,169,223,,odin-ursa-major-star-2,,495,33,32,/cloth-schemes/odin-god-warriors/merak-hagen.jpg,12,12,
179,170,170,24,,athena-saints-6,6,582,3,3,/cloth-schemes/athena-saints/ara-hakurei.jpg,6,0,
180,171,171,345,,pallas-weapon-thirdclass-8,34,323,31,8,/cloth-schemes/pallas-pallasites/triple-rod-halimede.png,16,0,
181,172,172,336,,athena-saints-78,7,582,5,5,/cloth-schemes/athena-saints/taurus-harbinger.png,16,16,
182,173,173,204,v1,athena-saints-50,5,582,5,8,/cloth-schemes/athena-saints/lupus-haruto-1.jpg,16,0,
183,173,173,204,v2,athena-saints-50,5,582,5,31,/cloth-schemes/athena-saints/lupus-haruto-2.png,16,16,
184,173,173,204,omega,athena-saints-50,9,582,31,5,/cloth-schemes/athena-saints/lupus-haruto-omega.png,16,16,
185,174,3,336,,athena-saints-78,7,582,21,21,/cloth-schemes/athena-saints/taurus-hasgard-lost-canvas-anime.jpg,15,15,
186,175,175,95,,pallas-weapon-thirdclass-3,34,323,31,8,/cloth-schemes/pallas-pallasites/daggers-hati.png,16,0,
187,176,176,,,artemis-witch,42,38,5,,/cloth-schemes/artemis-satellites/hecate.jpg,4,0,
188,177,177,,,pontos-hecatonchires,,342,,,/cloth-schemes/pontos-primordial/hecatonchires.jpg,8,0,
189,374,99,6,,athena-gods,9,582,,,,20,0,
190,179,179,180,,ares-legion-flame,23,33,6,6,/cloth-schemes/ares-berserkers/jamadhar-hema.jpg,7,0,
191,180,180,334,,odin-chamber-1,,495,5,5,/cloth-schemes/odin-god-warriors/tanngrisnir-heracles.png,14,0,
192,181,181,287,,odin-ursa-major-representative,31,495,6,6,/cloth-schemes/odin-god-warriors/polaris-hilda.jpg,12,0,
193,182,182,73,,athena-saints-23,5,582,6,6,/cloth-schemes/athena-saints/circinus-hooke.png,16,0,
194,183,183,240,,typhon-gigas-9,,444,27,27,/cloth-schemes/typhon-gigas/nefritis-hoplisma.jpg,8,0,
195,184,184,241,,hakuryu-taonias,,496,3,3,/cloth-schemes/hakuryu-taonias/nine-tailed-fox-hui.jpg,7,7,
196,185,185,18,,athena-saints-4,7,582,5,5,/cloth-schemes/athena-saints/aquarius-hyoga-anime.jpg,12,12,
197,185,185,90,v1,athena-saints-31,5,582,1,1,/cloth-schemes/athena-saints/cygnus-hyoga-1.jpg,1,1,
198,185,185,90,v1,athena-saints-31,5,582,7,7,/cloth-schemes/athena-saints/cygnus-hyoga-1-anime.jpg,12,12,
199,185,185,90,v2,athena-saints-31,5,582,1,1,/cloth-schemes/athena-saints/cygnus-hyoga-2.jpg,1,1,
200,185,185,90,v3,athena-saints-31,5,582,1,1,/cloth-schemes/athena-saints/cygnus-hyoga-3.jpg,1,1,
201,185,185,90,,athena-saints-31,9,582,1,1,/cloth-schemes/athena-saints/cygnus-hyoga-god.jpg,1,1,
202,185,185,225,,odin-god-warriors,,495,5,5,/cloth-schemes/odin-god-warriors/midgard-hyoga.png,22,12,
203,186,186,126,,cronus-titans-3,,84,5,25,/cloth-schemes/cronus-titans/ebony-hyperion.jpg,8,8,
204,187,187,329,,pallas-weapon-firstclass-2,32,323,5,5,/cloth-schemes/pallas-pallasites/destruction-hyperion.png,16,0,
205,188,188,174,,hades-brother-gods,9,168,1,1,/cloth-schemes/hades-specters/hypnos.jpg,1,1,
206,189,189,123,,eris-dryads,,308,6,6,/cloth-schemes/eris-dryads/duel-hysmie.jpg,5,0,
207,190,190,108,,cronus-titans-5,,84,5,25,/cloth-schemes/cronus-titans/dimension-iapetos.jpg,8,8,
208,191,191,176,,hades-dream-gods,9,168,3,3,/cloth-schemes/hades-specters/illusion-icelus.jpg,6,6,
209,192,192,172,,athena-saints-42,5,582,1,1,/cloth-schemes/athena-saints/hydra-ichi.jpg,42,42,
210,192,192,173,,athena-saints-43,6,582,6,6,/cloth-schemes/athena-saints/hydrus-ichi-omega.jpg,16,29,
211,193,193,189,authentic,athena-saints-46,7,582,13,13,/cloth-schemes/athena-saints/leo-Ikki-authentic.png,10,0,
212,193,193,278,v1,athena-saints-64,5,582,1,1,/cloth-schemes/athena-saints/phoenix-ikki-1.jpg,1,1,
213,193,193,278,v1,athena-saints-64,5,582,7,7,/cloth-schemes/athena-saints/phoenix-ikki-1-anime.jpg,12,12,
214,193,193,278,v2,athena-saints-64,5,582,1,1,/cloth-schemes/athena-saints/phoenix-ikki-2.jpg,1,1,
215,193,193,278,v3,athena-saints-64,5,582,1,1,/cloth-schemes/athena-saints/phoenix-ikki-3.jpg,1,1,
216,193,193,278,,athena-saints-64,9,582,1,1,/cloth-schemes/athena-saints/phoenix-ikki-god.jpg,1,1,
217,194,194,189,,athena-saints-46,7,582,5,5,/cloth-schemes/athena-saints/leo-ilias.jpg,6,0,
218,195,195,137,,poseidon-mariners-generals,18,494,1,1,/cloth-schemes/poseidon-mariners/scylla-io.jpg,1,1,
219,196,196,59,,athena-saints-16,7,582,5,5,/cloth-schemes/athena-saints/capricornus-ionia.png,16,16,
220,197,197,90,,athena-saints-31,5,582,,,/cloth-schemes/athena-saints/cygnus-isaak.png,10,0,
221,197,197,184,,poseidon-mariners-generals,18,494,1,1,/cloth-schemes/poseidon-mariners/kraken-isaak.jpg,1,1,
222,198,198,,,hades-terrestrial-star-98,14,168,6,6,/cloth-schemes/hades-specters/isolde.jpg,19,0,
223,199,199,197,,athena-saints-49,7,582,21,21,/cloth-schemes/athena-saints/libra-itia.png,7,0,
224,200,200,346,,hades-celestial-star-31,13,168,1,1,/cloth-schemes/hades-specters/troll-ivan.jpg,1,1,
225,119,119,59,,athena-saints-16,7,582,16,10,/cloth-schemes/athena-saints/capricornus-izo.jpg,4,0,
226,202,202,228,,athena-saints-55,5,582,1,1,/cloth-schemes/athena-saints/monoceros-jabu.jpg,1,1,
227,203,203,252,,athena-saints-60,6,582,5,5,/cloth-schemes/athena-saints/orion-jager.png,21,21,
228,,,,,hades-terrestrial-star-45,14,168,,,/cloth-schemes/hades-specters/star-fierce-next-dimension.jpg,4,0,
229,205,205,82,,athena-saints-28,6,582,1,1,/cloth-schemes/athena-saints/corvus-jamian.jpg,1,1,
230,206,206,307,,athena-saints-75,6,582,5,5,/cloth-schemes/athena-saints/scutum-jan.jpg,21,21,
231,,,,,hades-celestial-star-21,13,168,,,/cloth-schemes/hades-specters/star-deviance.jpg,29,0,
232,208,208,110,,athena-saints-51,5,582,5,5,/cloth-schemes/athena-saints/lynx-jao.jpg,23,8,
233,210,,90,,athena-saints-31,4,582,6,6,/cloth-schemes/athena-saints/cygnus-jid.jpg,1,1,
234,211,211,82,,athena-saints-28,6,582,31,8,/cloth-schemes/athena-saints/corvus-johann.png,16,0,
235,212,212,307,,athena-saints-75,6,582,6,6,/cloth-schemes/athena-saints/scutum-juan.jpg,5,5,
236,213,213,57,,athena-saints-13,4,582,6,6,/cloth-schemes/athena-saints/canes-venatici-judo.jpg,7,1,
